func_id,rms,cost,run_id
5,8,1,1
7,16,2,1
8,16,1,1
13,71,5,1
11,104,6,1
6,32,2,1
13,72,7,1
11,105,8,1
6,32,2,1
13,72,7,1
11,105,8,1
6,32,2,1
13,72,7,1
11,105,8,1
6,32,2,1
13,73,16,1
11,106,17,1
6,32,2,1
13,74,20,1
11,107,21,1
6,32,2,1
13,75,24,1
11,108,25,1
6,32,2,1
13,76,28,1
11,109,29,1
6,32,2,1
13,77,32,1
11,110,33,1
6,32,2,1
13,78,36,1
11,111,37,1
6,32,2,1
13,79,40,1
11,112,41,1
6,32,2,1
13,80,44,1
11,113,45,1
6,32,2,1
13,87,61,1
11,120,62,1
10,363,391,1
9,224,1,1
12,645,396,1
5,8,1,2
7,16,2,2
8,16,1,2
13,71,5,2
11,104,6,2
6,32,2,2
13,72,7,2
11,105,8,2
6,32,2,2
13,72,7,2
11,105,8,2
6,32,2,2
13,72,7,2
11,105,8,2
6,32,2,2
13,73,16,2
11,106,17,2
6,32,2,2
13,74,20,2
11,107,21,2
6,32,2,2
13,75,24,2
11,108,25,2
6,32,2,2
13,76,28,2
11,109,29,2
6,32,2,2
13,77,32,2
11,110,33,2
6,32,2,2
13,78,36,2
11,111,37,2
6,32,2,2
13,79,40,2
11,112,41,2
6,32,2,2
13,80,44,2
11,113,45,2
6,32,2,2
13,81,48,2
11,114,49,2
6,32,2,2
13,82,52,2
11,115,53,2
6,32,2,2
13,83,56,2
11,116,57,2
6,32,2,2
13,84,60,2
11,117,61,2
6,32,2,2
13,85,64,2
11,118,65,2
6,32,2,2
13,86,68,2
11,119,69,2
6,32,2,2
13,87,72,2
11,120,73,2
6,32,2,2
13,88,76,2
11,121,77,2
6,32,2,2
13,89,80,2
11,122,81,2
6,32,2,2
13,90,84,2
11,123,85,2
6,32,2,2
13,91,88,2
11,124,89,2
6,32,2,2
13,92,92,2
11,125,93,2
6,32,2,2
13,93,96,2
11,126,97,2
6,32,2,2
13,94,100,2
11,127,101,2
6,32,2,2
13,95,104,2
11,128,105,2
6,32,2,2
13,96,108,2
11,129,109,2
6,32,2,2
13,97,112,2
11,130,113,2
6,32,2,2
13,98,116,2
11,131,117,2
6,32,2,2
13,99,120,2
11,132,121,2
6,32,2,2
13,100,124,2
11,133,125,2
6,32,2,2
13,101,128,2
11,134,129,2
6,32,2,2
13,102,132,2
11,135,133,2
6,32,2,2
13,103,136,2
11,136,137,2
6,32,2,2
13,104,140,2
11,137,141,2
6,32,2,2
13,105,144,2
11,138,145,2
6,32,2,2
13,106,148,2
11,139,149,2
6,32,2,2
13,107,152,2
11,140,153,2
6,32,2,2
13,108,156,2
11,141,157,2
6,32,2,2
13,109,160,2
11,142,161,2
6,32,2,2
13,110,164,2
11,143,165,2
6,32,2,2
13,111,168,2
11,144,169,2
6,32,2,2
13,112,172,2
11,145,173,2
6,32,2,2
13,113,176,2
11,146,177,2
6,32,2,2
13,114,180,2
11,147,181,2
6,32,2,2
13,115,184,2
11,148,185,2
6,32,2,2
13,116,188,2
11,149,189,2
6,32,2,2
13,117,192,2
11,150,193,2
6,32,2,2
13,118,196,2
11,151,197,2
6,32,2,2
13,119,200,2
11,152,201,2
6,32,2,2
13,120,204,2
11,153,205,2
6,32,2,2
13,121,208,2
11,154,209,2
6,32,2,2
13,122,212,2
11,155,213,2
6,32,2,2
13,123,216,2
11,156,217,2
6,32,2,2
13,124,220,2
11,157,221,2
6,32,2,2
13,125,224,2
11,158,225,2
6,32,2,2
13,126,228,2
11,159,229,2
6,32,2,2
13,127,232,2
11,160,233,2
6,32,2,2
13,128,236,2
11,161,237,2
6,32,2,2
13,129,240,2
11,162,241,2
6,32,2,2
13,130,244,2
11,163,245,2
6,32,2,2
13,131,248,2
11,164,249,2
6,32,2,2
13,132,252,2
11,165,253,2
6,32,2,2
13,133,256,2
11,166,257,2
6,32,2,2
13,134,260,2
11,167,261,2
6,32,2,2
13,135,264,2
11,168,265,2
6,32,2,2
13,136,268,2
11,169,269,2
6,32,2,2
13,137,272,2
11,170,273,2
6,32,2,2
13,138,276,2
11,171,277,2
6,32,2,2
13,139,280,2
11,172,281,2
6,32,2,2
13,140,284,2
11,173,285,2
6,32,2,2
13,141,288,2
11,174,289,2
6,32,2,2
13,142,292,2
11,175,293,2
6,32,2,2
13,143,296,2
11,176,297,2
6,32,2,2
13,144,300,2
11,177,301,2
6,32,2,2
13,145,304,2
11,178,305,2
6,32,2,2
13,146,308,2
11,179,309,2
6,32,2,2
13,147,312,2
11,180,313,2
6,32,2,2
13,148,316,2
11,181,317,2
6,32,2,2
13,149,320,2
11,182,321,2
6,32,2,2
13,150,324,2
11,183,325,2
6,32,2,2
13,151,328,2
11,184,329,2
6,32,2,2
13,152,332,2
11,185,333,2
6,32,2,2
13,153,336,2
11,186,337,2
6,32,2,2
13,154,340,2
11,187,341,2
